Restaurant_Name,Food_Type,Price_Range,Average_Rating,Review_Count,Phone_Number,Address
La Loma | Denver,Mexican-Tex-Mex,$$,4 stars,1332,(303) 433-8300,1801 BroadwayCBD
3 Kilts Tavern,Pubs-Irish-American (Traditional),,3.5 stars,3,(720) 866-9852,1076 N Ogden StCapitol Hill
Yahya’s Mediterranean Grill & Pastries,Mediterranean-Middle Eastern-Greek,$$,4.5 stars,404,(720) 532-8746,2207 E Colfax AveNortheast
Onefold,Breakfast & Brunch-Cafes,$$,4.5 stars,722,(303) 954-0877,1420 E 18th AveNortheast
OG Burgers,Food Trucks-Burgers,$$,4 stars,44,(443) 739-4633,1022 Pearl StCapitol Hill
Bourbon Grill,Cajun/Creole-Chicken Wings,$,4.5 stars,393,(303) 355-3821,571 E Colfax AveUptown
Bang Up To The Elephant!,Caribbean-Bars-Breakfast & Brunch,$$,3.5 stars,353,(303) 792-4949,1310 Pearl StCapitol Hill
100% de Agave,Mexican-Bars,$$,4 stars,439,(303) 731-1100,975 Lincoln StCapitol Hill
Island Noodles Colorado,Noodles-Pop-Up Restaurants,,3.5 stars,3,(217) 891-1535,Capitol Hill
Ritual Social House,Pizza,$$,4.5 stars,87,(303) 862-4566,1209 E 13th AveSoutheast
Pho & Bar,Vietnamese-Bars-Comfort Food,,5 stars,56,(720) 535-7274,1600 E 17th AveNortheast
Park & Co,Burgers-American (Traditional)-Breakfast & Brunch,$$,4 stars,604,(720) 328-6732,439 E 17th AveUptown
Olive & Finch,Breakfast & Brunch-Sandwiches,$$,4 stars,757,(303) 832-8663,1552 E 17th AveNortheast
Torchys Tacos,Tex-Mex-Tacos,$,3.5 stars,860,(303) 436-1704,1085 N BroadwaySouthwest
Snarfburger,Burgers-Fast Food-American (Traditional),$,4 stars,38,(720) 573-9134,1001 E 11th AveCapitol Hill
Cafe Miriam,Breakfast & Brunch-Creperies-Moroccan,$,5 stars,204,(720) 325-9027,2217 E 21st AveCity Park
Las Margs,Bars-Mexican,$,4 stars,548,(720) 361-2137,1521 Marion StNortheast
Rioja,American (New)-Spanish-Bars,$$$,4.5 stars,2268,(303) 820-2282,Located in Larimer SquareLodo
Botellón Spanish Tapas & Wine,Spanish-Tapas Bars-Bars,,4.5 stars,28,(303) 322-0898,1618 E 17th AveNortheast
Mother Tongue,Vegan-Gluten-Free-Wraps,,4.5 stars,9,950 N Broadway,Capitol Hill
Tacos Tequila Whiskey,Mexican-Cocktail Bars,$$,4 stars,94,(720) 458-0989,215 E 7th AveCapitol Hill
The 9th Door Capitol Hill,Spanish-Tapas Bars-Wine Bars,$$,4 stars,239,(303) 832-7027,Located in Beauvallon buildingCapitol Hill
Sassafras American Eatery-Capitol Hill,Breakfast & Brunch,$$,4.5 stars,926,(303) 831-6233,320 East Colfax AveUptown
Park Tavern & Restaurant,Sports Bars-American (Traditional),$$,3 stars,341,(303) 832-7667,931 E 11th AveCapitol Hill
Melita’s Greek Café & Market,Greek-Grocery-Falafel,$$,4 stars,302,(303) 629-1624,1035 Lincoln StCapitol Hill
Sullivan Scrap Kitchen,American (Traditional)-Sandwiches-Burgers,,5 stars,20,(720) 242-6292,1740 E 17th AveNortheast
Rocky Yama Sushi,Japanese-Sushi Bars,$$,5 stars,129,(303) 954-9562,801 Santa Fe DrLincoln Park
5280 Burger Bar - Denver,Burgers-American (Traditional)-Sports Bars,$$,4 stars,1572,(303) 825-1020,Located in Denver PavilionsCBD
D Bar Denver,Desserts-American (Traditional)-Breakfast & Brunch,$$,4 stars,918,(303) 861-4710,494 E 19th AveUptown
Kyu Ramen,Ramen-Poke,$$,4.5 stars,39,(303) 353-8497,600 E Colfax AveUptown
Tycoon Ramen and Sushi,Ramen-Sushi Bars,$$,4 stars,238,(303) 832-2367,338 E Colfax AveUptown
Meadow Lark Farm Dinners,Italian,$$$$,5 stars,6,(303) 710-5336,Capitol Hill
Guard and Grace,Steakhouses-Wine Bars-Seafood,$$$,4.5 stars,1154,(303) 293-8500,1801 California StCBD
Humboldt Kitchen + Bar,American (New)-Bars-Seafood,$$,4 stars,682,(303) 813-1700,1700 Humboldt StNortheast
Toasts n Roasts,Coffee & Tea-Breakfast & Brunch-Juice Bars & Smoothies,$,4.5 stars,31,(303) 484-9602,450 E 17th AveUptown
Anecdote,Cocktail Bars-Cafes-Bakeries,$,4.5 stars,28,(720) 502-4904,820 N Sherman StCapitol Hill
Cuba Cuba Cafe & Bar,Cuban,$$,4.5 stars,723,(303) 605-2822,1173 Delaware StGolden Triangle
Postino Broadway,Italian-Wine Bars-Breakfast & Brunch,$$,4.5 stars,131,(303) 351-7000,145 N BroadwaySouthwest
